0.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,available,driver4@gmail.com,available,
0.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,available,driver4@gmail.com,available,
1.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,
1.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,
2.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,
2.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,
3.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,
3.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,
4.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,
4.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,
5.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,
5.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,
6.00,driver1@gmail.com,available,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,
6.30,driver1@gmail.com,available,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,
7.00,driver1@gmail.com,available,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,
7.30,driver1@gmail.com,available,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,
8.00,driver1@gmail.com,available,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,
8.30,driver1@gmail.com,available,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,
