0.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
0.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
1.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
1.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
2.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
2.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
3.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
3.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
4.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
4.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
5.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
5.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
6.00,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
6.30,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
7.00,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
7.30,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
8.00,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
8.30,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
9.00,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
9.30,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
10.00,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
10.30,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
11.00,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
11.30,driver1@gmail.com,available,driver2@gmail.com,unstaffed,
12.00,driver1@gmail.com,available,driver2@gmail.com,available,
12.30,driver1@gmail.com,available,driver2@gmail.com,available,
13.00,driver1@gmail.com,available,driver2@gmail.com,available,
13.30,driver1@gmail.com,available,driver2@gmail.com,available,
14.00,driver1@gmail.com,available,driver2@gmail.com,ref10,
14.30,driver1@gmail.com,available,driver2@gmail.com,ref10,
15.00,driver1@gmail.com,unstaffed,driver2@gmail.com,available,
15.30,driver1@gmail.com,unstaffed,driver2@gmail.com,available,
16.00,driver1@gmail.com,unstaffed,driver2@gmail.com,available,
16.30,driver1@gmail.com,unstaffed,driver2@gmail.com,available,
17.00,driver1@gmail.com,unstaffed,driver2@gmail.com,available,
17.30,driver1@gmail.com,unstaffed,driver2@gmail.com,available,
18.00,driver1@gmail.com,unstaffed,driver2@gmail.com,available,
18.30,driver1@gmail.com,unstaffed,driver2@gmail.com,available,
19.00,driver1@gmail.com,unstaffed,driver2@gmail.com,available,
19.30,driver1@gmail.com,unstaffed,driver2@gmail.com,available,
20.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
20.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
21.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
21.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
22.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
22.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
23.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
23.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,
