shaytewhau@gmail.com,Shaymian,Te Whau,0221230142,Djent
arthurmorgan@gmail.com,Arthur,Morgan,027456123,Arthur
buzzlightyear@gmail.com,buzz,lightyear,021987456,Buzz
batman@gmail.com,bat,man,022456987,Bat
bobdylan@gmail.com,Bob,Dylan,0221230142,bob
superman@gmail.com,clark,kent,0221230142,louis
bobmarley@gmail.com,bob,marley,0221230142,bob
peterg@gmail.com,peter,griffin,0221230142,louis
ww@gmail.com,diana,ww,02212301423,dian
flash@gmail.com,Barry,Allen,022123142,barry
supersaiyan@gmail.com,Go,ku,0221230142,kakarot
vegeta@gmail.com,vegeta,king,0221230142,king
mj@gmail.com,Michael,Jackson,0221230142,beatit
sw@gmail.com,Stevie,Wonder,0221230142,cantdrive
gwenstefani@gmail.com,Gwen,Stefani,0221230142,nodoubt
ruthmcintyre@gmail.com,Ruth,McIntyre,0221230142,old
homersimpson@gmail.com,Homer,Simpson,0221230142,beer
lisasimpson@gmail.com,Lisa,Simpson,022123142,saxophone
stanwalker@gmail.com,Stan,Walker,0221230142,blackbox
