0.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,available,driver4@gmail.com,available,driver5@gmail.com,unstaffed
0.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,available,driver4@gmail.com,available,driver5@gmail.com,unstaffed
1.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,driver5@gmail.com,unstaffed
1.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,driver5@gmail.com,unstaffed
2.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,driver5@gmail.com,unstaffed
2.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,driver5@gmail.com,unstaffed
3.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,driver5@gmail.com,unstaffed
3.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,available,driver5@gmail.com,unstaffed
4.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,driver5@gmail.com,available
4.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,driver5@gmail.com,available
5.00,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,driver5@gmail.com,available
5.30,driver1@gmail.com,unstaffed,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,driver5@gmail.com,available
6.00,driver1@gmail.com,available,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,driver5@gmail.com,available
6.30,driver1@gmail.com,available,driver2@gmail.com,unstaffed,driver3@gmail.com,unstaffed,driver4@gmail.com,unstaffed,driver5@gmail.com,available
